season_t,season_t1,season_pair,franchise_id,team_t,team_t1,clutch_possessions_t,clutch_possessions_t1,clutch_games_t,clutch_games_t1,clutch_net_rating_t,clutch_net_rating_t1,non_clutch_net_rating_t,non_clutch_net_rating_t1,all_net_rating_t,all_net_rating_t1,clutch_minus_non_clutch_net_t,clutch_minus_non_clutch_net_t1,clutch_minus_all_net_t,clutch_minus_all_net_t1,eligible_default
2003-04,2004-05,2003-04->2004-05,1610612738,BOS,BOS,351.0,482.0,48,51,-3.976,3.484,-1.432,0.659,-1.547,0.839,-2.545,2.825,-2.429,2.646,True
2003-04,2004-05,2003-04->2004-05,1610612741,CHI,CHI,349.0,419.0,43,46,-16.893,9.649,-6.041,0.959,-6.533,1.412,-10.852,8.69,-10.361,8.237,True
2003-04,2004-05,2003-04->2004-05,1610612739,CLE,CLE,363.0,269.0,48,36,-3.992,-8.418,-2.493,0.906,-2.552,0.572,-1.499,-9.325,-1.441,-8.99,True
2003-04,2004-05,2003-04->2004-05,1610612742,DAL,DAL,302.0,286.0,40,43,-14.796,16.478,5.273,5.504,4.496,5.906,-20.07,10.974,-19.292,10.572,True
2003-04,2004-05,2003-04->2004-05,1610612743,DEN,DEN,301.0,299.0,39,39,13.725,10.702,0.479,1.816,0.987,2.157,13.246,8.887,12.738,8.546,True
2003-04,2004-05,2003-04->2004-05,1610612765,DET,DET,373.0,368.0,45,40,9.278,8.033,6.301,4.159,6.453,4.345,2.977,3.874,2.825,3.688,True
2003-04,2004-05,2003-04->2004-05,1610612744,GSW,GSW,359.0,404.0,43,49,-11.838,6.859,-0.544,-2.639,-1.082,-2.166,-11.294,9.498,-10.755,9.025,True
2003-04,2004-05,2003-04->2004-05,1610612745,HOU,HOU,412.0,347.0,44,43,0.111,-8.974,2.026,4.902,1.91,4.258,-1.915,-13.876,-1.799,-13.232,True
2003-04,2004-05,2003-04->2004-05,1610612754,IND,IND,362.0,448.0,43,51,18.635,9.046,5.735,0.487,6.338,0.997,12.9,8.559,12.298,8.049,True
2003-04,2004-05,2003-04->2004-05,1610612746,LAC,LAC,313.0,485.0,42,50,-12.533,-5.471,-4.361,-0.459,-4.694,-0.778,-8.173,-5.013,-7.839,-4.694,True
2003-04,2004-05,2003-04->2004-05,1610612747,LAL,LAL,393.0,375.0,41,49,17.693,2.759,3.368,-3.529,4.063,-3.193,14.324,6.288,13.63,5.952,True
2003-04,2004-05,2003-04->2004-05,1610612763,MEM,MEM,377.0,311.0,48,48,10.056,10.589,2.235,2.359,2.621,2.708,7.821,8.23,7.435,7.881,True
2003-04,2004-05,2003-04->2004-05,1610612748,MIA,MIA,320.0,411.0,42,42,10.897,11.032,-0.172,6.479,0.298,6.716,11.069,4.552,10.599,4.316,True
2003-04,2004-05,2003-04->2004-05,1610612749,MIL,MIL,418.0,383.0,53,47,-2.864,-2.987,1.335,-2.958,1.106,-2.96,-4.199,-0.029,-3.969,-0.027,True
2003-04,2004-05,2003-04->2004-05,1610612750,MIN,MIN,346.0,335.0,40,55,11.013,12.233,5.442,1.107,5.703,1.614,5.57,11.125,5.309,10.619,True
2003-04,2004-05,2003-04->2004-05,1610612751,NJN,NJN,272.0,340.0,33,39,0.045,4.088,2.684,-1.965,2.588,-1.708,-2.639,6.053,-2.543,5.796,True
2003-04,2004-05,2003-04->2004-05,1610612740,NOH,NOH,383.0,417.0,48,48,1.828,-19.538,0.045,-6.958,0.135,-7.67,1.783,-12.579,1.693,-11.867,True
2003-04,2004-05,2003-04->2004-05,1610612752,NYK,NYK,391.0,395.0,41,47,10.916,-15.096,-2.299,-2.03,-1.627,-2.718,13.215,-13.066,12.543,-12.377,True
2003-04,2004-05,2003-04->2004-05,1610612753,ORL,ORL,318.0,356.0,41,49,-2.205,-9.532,-7.658,-1.907,-7.428,-2.251,5.453,-7.624,5.223,-7.28,True
2003-04,2004-05,2003-04->2004-05,1610612755,PHI,PHI,343.0,427.0,43,47,-8.348,0.894,-2.343,-0.745,-2.629,-0.674,-6.005,1.639,-5.72,1.568,True
2003-04,2004-05,2003-04->2004-05,1610612756,PHX,PHX,361.0,272.0,48,39,-13.996,12.864,-3.337,6.786,-3.839,6.993,-10.659,6.078,-10.157,5.871,True
2003-04,2004-05,2003-04->2004-05,1610612757,POR,POR,417.0,346.0,50,47,2.626,-13.971,-1.721,-3.799,-1.469,-4.271,4.348,-10.172,4.096,-9.7,True
2003-04,2004-05,2003-04->2004-05,1610612758,SAC,SAC,369.0,425.0,43,48,8.473,0.338,5.226,2.387,5.373,2.277,3.247,-2.049,3.1,-1.94,True
2003-04,2004-05,2003-04->2004-05,1610612759,SAS,SAS,288.0,297.0,38,32,-1.736,-1.336,8.322,8.691,7.932,8.305,-10.058,-10.028,-9.668,-9.642,True
2003-04,2004-05,2003-04->2004-05,1610612760,SEA,SEA,337.0,320.0,42,43,2.868,14.407,-0.99,1.794,-0.816,2.336,3.857,12.613,3.684,12.071,True
2003-04,2004-05,2003-04->2004-05,1610612761,TOR,TOR,440.0,356.0,47,46,-4.447,6.09,-3.354,-2.202,-3.415,-1.824,-1.092,8.292,-1.031,7.914,True
2003-04,2004-05,2003-04->2004-05,1610612762,UTA,UTA,303.0,334.0,41,41,11.293,-11.139,-1.834,-4.115,-1.292,-4.434,13.127,-7.024,12.584,-6.705,True
2003-04,2004-05,2003-04->2004-05,1610612764,WAS,WAS,321.0,416.0,39,51,-12.553,-0.24,-5.462,-0.437,-5.761,-0.427,-7.091,0.197,-6.791,0.186,True
2004-05,2005-06,2004-05->2005-06,1610612737,ATL,ATL,345.0,453.0,37,52,-14.978,-11.42,-9.933,-4.951,-10.16,-5.33,-5.045,-6.469,-4.818,-6.091,True
2004-05,2005-06,2004-05->2005-06,1610612738,BOS,BOS,482.0,495.0,51,54,3.484,-7.418,0.659,-1.139,0.839,-1.536,2.825,-6.278,2.646,-5.882,True
2004-05,2005-06,2004-05->2005-06,1610612766,CHA,CHA,406.0,360.0,47,45,-16.145,0.814,-5.653,-4.638,-6.204,-4.393,-10.492,5.453,-9.941,5.207,True
2004-05,2005-06,2004-05->2005-06,1610612741,CHI,CHI,419.0,469.0,46,52,9.649,12.905,0.959,-0.105,1.412,0.67,8.69,13.01,8.237,12.235,True
2004-05,2005-06,2004-05->2005-06,1610612739,CLE,CLE,269.0,391.0,36,52,-8.418,6.923,0.906,1.883,0.572,2.145,-9.325,5.04,-8.99,4.778,True
2004-05,2005-06,2004-05->2005-06,1610612742,DAL,DAL,286.0,372.0,43,44,16.478,8.261,5.504,6.676,5.906,6.732,10.974,1.586,10.572,1.529,True
2004-05,2005-06,2004-05->2005-06,1610612743,DEN,DEN,299.0,377.0,39,41,10.702,0.309,1.816,0.332,2.157,0.334,8.887,-0.024,8.546,-0.025,True
2004-05,2005-06,2004-05->2005-06,1610612765,DET,DET,368.0,313.0,40,38,8.033,11.164,4.159,7.395,4.345,7.554,3.874,3.769,3.688,3.61,True
2004-05,2005-06,2004-05->2005-06,1610612744,GSW,GSW,404.0,388.0,49,51,6.859,-11.757,-2.639,-0.808,-2.166,-1.356,9.498,-10.949,9.025,-10.401,True
2004-05,2005-06,2004-05->2005-06,1610612745,HOU,HOU,347.0,351.0,43,45,-8.974,-3.395,4.902,-1.645,4.258,-1.725,-13.876,-1.75,-13.232,-1.67,True
2004-05,2005-06,2004-05->2005-06,1610612754,IND,IND,448.0,315.0,51,47,9.046,-10.2,0.487,2.586,0.997,2.048,8.559,-12.787,8.049,-12.248,True
2004-05,2005-06,2004-05->2005-06,1610612746,LAC,LAC,485.0,291.0,50,40,-5.471,19.772,-0.459,0.918,-0.778,1.641,-5.013,18.854,-4.694,18.131,True
2004-05,2005-06,2004-05->2005-06,1610612747,LAL,LAL,375.0,348.0,49,40,2.759,-0.877,-3.529,2.778,-3.193,2.604,6.288,-3.655,5.952,-3.481,True
2004-05,2005-06,2004-05->2005-06,1610612763,MEM,MEM,311.0,366.0,48,44,10.589,10.594,2.359,3.803,2.708,4.134,8.23,6.792,7.881,6.46,True
2004-05,2005-06,2004-05->2005-06,1610612748,MIA,MIA,411.0,284.0,42,42,11.032,9.53,6.479,3.873,6.716,4.078,4.552,5.658,4.316,5.453,True
2004-05,2005-06,2004-05->2005-06,1610612749,MIL,MIL,383.0,406.0,47,54,-2.987,8.409,-2.958,-1.567,-2.96,-1.042,-0.029,9.977,-0.027,9.452,True
2004-05,2005-06,2004-05->2005-06,1610612750,MIN,MIN,335.0,407.0,55,53,12.233,-14.519,1.107,-1.288,1.614,-2.023,11.125,-13.231,10.619,-12.496,True
2004-05,2005-06,2004-05->2005-06,1610612751,NJN,NJN,340.0,305.0,39,44,4.088,10.17,-1.965,1.152,-1.708,1.518,6.053,9.018,5.796,8.653,True
2004-05,2005-06,2004-05->2005-06,1610612740,NOH,NOK,417.0,299.0,48,45,-19.538,9.732,-6.958,-3.305,-7.67,-2.779,-12.579,13.037,-11.867,12.511,True
2004-05,2005-06,2004-05->2005-06,1610612752,NYK,NYK,395.0,389.0,47,40,-15.096,-12.901,-2.03,-6.273,-2.718,-6.606,-13.066,-6.628,-12.377,-6.295,True
2004-05,2005-06,2004-05->2005-06,1610612753,ORL,ORL,356.0,363.0,49,43,-9.532,-3.121,-1.907,-1.218,-2.251,-1.305,-7.624,-1.903,-7.28,-1.816,True
2004-05,2005-06,2004-05->2005-06,1610612755,PHI,PHI,427.0,419.0,47,46,0.894,-3.725,-0.745,-1.703,-0.674,-1.824,1.639,-2.022,1.568,-1.901,True
2004-05,2005-06,2004-05->2005-06,1610612756,PHX,PHX,272.0,355.0,39,42,12.864,0.425,6.786,5.649,6.993,5.42,6.078,-5.225,5.871,-4.995,True
2004-05,2005-06,2004-05->2005-06,1610612757,POR,POR,346.0,334.0,47,39,-13.971,-13.167,-3.799,-10.531,-4.271,-10.65,-10.172,-2.636,-9.7,-2.516,True
2004-05,2005-06,2004-05->2005-06,1610612758,SAC,SAC,425.0,315.0,48,40,0.338,4.127,2.387,1.656,2.277,1.757,-2.049,2.471,-1.94,2.37,True
2004-05,2005-06,2004-05->2005-06,1610612759,SAS,SAS,297.0,329.0,32,39,-1.336,12.286,8.691,7.259,8.305,7.466,-10.028,5.028,-9.642,4.821,True
2004-05,2005-06,2004-05->2005-06,1610612760,SEA,SEA,320.0,344.0,43,44,14.407,1.296,1.794,-3.484,2.336,-3.269,12.613,4.78,12.071,4.566,True
2004-05,2005-06,2004-05->2005-06,1610612761,TOR,TOR,356.0,437.0,46,49,6.09,-12.845,-2.202,-2.636,-1.824,-3.22,8.292,-10.209,7.914,-9.625,True
2004-05,2005-06,2004-05->2005-06,1610612762,UTA,UTA,334.0,332.0,41,41,-11.139,3.337,-4.115,-3.006,-4.434,-2.721,-7.024,6.342,-6.705,6.058,True
2004-05,2005-06,2004-05->2005-06,1610612764,WAS,WAS,416.0,392.0,51,48,-0.24,-4.907,-0.437,2.272,-0.427,1.909,0.197,-7.18,0.186,-6.816,True
2005-06,2006-07,2005-06->2006-07,1610612737,ATL,ATL,453.0,314.0,52,38,-11.42,-5.396,-4.951,-5.084,-5.33,-5.092,-6.469,-0.312,-6.091,-0.304,True
2005-06,2006-07,2005-06->2006-07,1610612738,BOS,BOS,495.0,375.0,54,53,-7.418,-0.31,-1.139,-3.658,-1.536,-3.481,-6.278,3.348,-5.882,3.17,True
2005-06,2006-07,2005-06->2006-07,1610612766,CHA,CHA,360.0,374.0,45,39,0.814,-9.419,-4.638,-3.577,-4.393,-3.861,5.453,-5.843,5.207,-5.558,True
